reviewText,sentimentScore
Another wonderful Patterson book made incredibly awful movie. If big budget movies work make low budget made t.v. movie that's 10 times worse! I desperate good movie ONE books justice!,0
"Hotel Du Nord gripping drama guilt Marcel Carne portrayed entertaining tale ill-fated love also functions revolt cruel world.The film based entirely pair hapless lovers.Pierre Renee mistaken believed suicide would put end misery.Hotel Du Nord inimitable charm inhabitants become essential part establishment.There element togetherness everyone flocks Hotel Du Nord eat,chat etc.Marcel Carne remained true spirit films produced 30s 40s Hotel Du Nord certain kind nostalgic feel.Carne,while recreating life Parisian roads able create sort nostalgia black white giving unique genre poetic realism oeuvre.Hotel Du Nord termed quintessence cinematographic populism.The 14th July ball scene banks Saint Martin canal remains magnificent sequence.The film's immense popularity judged fact Hotel Du Nord declared national monument.",1
"I've read comments watch film looking stirring Shakespearian dialogue. This true, unfortunately, stirring dialogue, wonderful play contains, cut, replaced songs. I've read play, recently lucky enough see performed, remains one favourite Shakespearian Comedies, movie seems take I like away. The Princess, though doubt directed do, regal bearing, girls seemed lose cleverness characters - also affected unwise cuts, took away female characters already sparse dialogue, took comments context - little unnerving hear Princess proclaim; ""We wise girls mock lovers so!"", mocking taken place all. The news reels throughout film also disrupted flow, took away many excellent scenes, showed information scenes them, modern phrasing. In conclusion, excellent play, ruined odd concept, unwise cuts. Kenneth, I usually love do. What thinking?",0
"I happened borrow movie friend knowing nothing it, turned outstanding documentary journey ancient vessel across vast expanses ocean. Thor Heyerdahl developed theory ancient Incas Peru managed travel thousands miles across ocean Polynesia, based certain relics found places, certain types ancient sea-going vessels know available, analysis ocean wind currents, knowledge Incas did, fact, travel undetermined amount sea. In order test hypothesis, Heyerdahl crew construct vessel closely possible ancient Incas available, using balsa wood materials available time, set Lima, Peru's capital, try reach islands Polynesia, 5,000 miles away. His theory, like much ancient history, impossible prove 100% certainty, coverage journey provides strong support right. The film really little narration footage taken 100+ day expedition, detailed description like trials tribulations faced. I often wish Academy Award winning documentaries easier find, one 50 years ago still interesting informative I sure first released.",1
"Another Excellent Arnold movie. This futuristic movie great action it, one Arnie's best movies. Arnold framed bad guy movie plays Game Death. This movie excellent great Sci-Fi / action movie. I've always liked movie one greatest adventure movies time. 10 10! PERFECTION",1
"I love music Clash I love music Joe Strummer The Mescaleros. I went movie hoping learn man behind that. But I came theatre knowing much Joe I already reading entry Wikipedia. The movie never really gets person, thoughts feelings. What collect little material had, shaky blurry videos interview people Joe Strummer camp fire. It turns people knew little all, director wanted movie order celebrities say, ""Oh, inspiration us"". Like Bono Johnny Depp (whom seemingly asked keep pirate costume benefit current success Pirates Caribbean). It seems director could even wait body cold jumped sell version ""the greatest punk rocker hippie heart"" ever lived, sanctifying person without really knowing enough him. Sure, fan enjoyed seeing images band, hearing anecdotes behind songs such, end I felt like remained portrait Joe Strummer could easily told 60-90 minutes. Go see movie fan, otherwise better listen music Clash even better undeservedly unknown Mescaleros, Joe Strummer reached peak musical development death, melting rich influences together one amazing sound.",0
"I really enjoyed movie. The humor bit absent times I enjoyed story moved dramatic serious throughout film. This second movie I saw Verdone acting (the 'Un sacco bello'), I see Italians find tiresome, think played role well loving father. My one drawback movie I knew took place Italy - somewhere center south, I presume, I felt like representation place. This movie could taken place New York, Boston, Melbourne, New Dehli...I always think important movies place give viewers something relate to. (Maybe I missed something?) :) If like Italian films, I think enjoy this. It's Fellini Rossellini - realism neo-realism. It's comical story serious moments could really happen us.",1
"There whole lot going story -- two men employing different ways handling memories Vietnam. But lacks premise, makes acting realism. It's quiet film bonds friendship shared experience. We even get romance (not gratuitous -- another real piece story). It's well worth seeing.",1
"Currently, film listed IMDb 42nd worst film ever made--which exactly I rented NetFlix. However, I saddened report film, bad, near bad enough merit bottom 100 films ever made list. I personally seen least 100 films worse one. Hardly glowing endorsement, meet expected level awfulness included infamous list. The film begin Stewart Moss Marianne McAndrew belated honeymoon (by way, married real life well). He's doctor obsessed bats insists go nearby cave. Once there, behave very, very, stupidly (hallmark bad film) soon bitten bat. According film, bats love attack people vampire bats US--both true all. Oddly, bitten, man even bother going hospital!! The first thing anyone's mind (especially doctor) get medical help immediately, boob. Soon, he's seizures--yet STILL interested seeking help! Again keep thinking must stupidest couple film history!!  After while, eventually goes see doctor sent hospital. But, late attacks become violent begins killing people suck blood. When totally obvious everyone man crazed killing machine, wife (who, like husband, grapefruit brain) refuses believe he's dangerous--even attacks people, steals ambulance runs police car road!!  Now time Moss going episodes, eyes roll back looks like normal person. Oddly, however, couple times develops bat-like hands towards end used nice prosthetics make look quite bat-like. Had really cheesy, film would merited 1. In end, twist hardly made sense all, wife inexplicably turned crazed bat lady swarm bats kill evil sheriff. How arranged mystery Moss' McAndrew's belief film would somehow help careers--though reasonably long careers TV playing bit roles since 1974. Overall, dumb. The plot silly makes sense strongly relies people acting way dumb real. Not good film all, among worst films time either. NOTE: For reason, IMDb shows graphic three DVD set IT'S ALIVE two sequels web page THE BAT PEOPLE. While THE BAT PEOPLE seen title ""It's Alive"", two movies related. It's easy understand mistake--especially since came 1974, movie I reviewed starred Stewart Moss Marianne McAndrew film starred John Ryan Sharon Farrell.",0
"This movie much like ""Flashdance"", know dance flick Jennifer Beals. That film probably boring film I ever seen since even bad enough funny. ""G.I. Jane"" much better film, say much. Here Demi Moore sweats lot there's high music get see fight everything, certainly engaging. I really think idea behind film kind interesting, script clich├⌐d Ridley Scott can't anything that. Well, like I said... It's better ""Flashdance""... (4/10)",0
This film good characters excellent performances cast. David Strathairn diabolically sincere child molesting salesman Danny Vinson plays perfect pussy-whipped southern husband. The slick soundtrack betrays murder ballad tone film.,1
"She extraordinary singer, cares anything else!!!! That final scene one best moments show biz - bar none!! I'm glad kept camera ten minutes - deserves iconic status - power voice.  I first saw film I five huge impact me. I see today, yes, I see flaws (like Esther wanting leave Grammy's right award announced). But user comments plain false - I mean, gratuitous nudity - maybe saw different films???  Streisand's singing ability monumental, big ego - fine!  She's earned it.",1
"Play Mystery Theater 3000 home friends! Rent movie laughs! The acting poor, sounds terrible fights ridiculously unbelievable. I thought movie joke I looked IMBD. I can't wait rent sequel, China O'Brien II.",0
"watched The Deer Hunter,which masterpiece,the movie Jacknife big shoes fill.it themes The Deer Hunter,the devastating effects person Vietnam War.Robert De Niro film,as The Deer Hunter good here,as Kathy Baker.but movie belongs Ed Harris,who gives powerful,emotional impactful performance.the movie based stage play,and one two scenes felt obvious me.by mean one two scenes felt like watching stage play.that big deal,and really diminish film.i actually really liked movie.it's epic like The Deer Hunter.they similar era similar themes,but two different films.i thought The Deer Hunter great,and also think movie great.it's acting one makes great.for me,Jacknife 10/10",1
"The Bourne Ultimatum - Jason Bourne (Matt Damon best role ever), newest spy kid block, brings quest identity close also seeks end CIA's latest program ""Blackbriar"" make super assassins like himself. I psyched one I watched predecessors yesterday today. Identity brilliant I recall Supremacy remains weak (but still enjoyable) link chain weakest plot and, aside car chase film's chase easily tops, slight lacking action suspense. Hoo boy, Ultimatum suspense! Even know Bourne escape authorities (and boy films spotlight police inept), still brilliant watching it. It's mind-boggling think two guys handguns mopeds create 10x suspense anything $150 million giant robots Transformers. Chalk Paul Greengrass, idiosyncratic style shooting stedicam la documentary, even though he's filming characters far ordinary, places like CIA headquarters one within 10 miles would allowed camcorder. He seemed listen various complaints Supremacy, action Ultimatum nothing less awe-inspiring, various implements used weapons candlestick, hardcover book (I'll never look way again) electric fan (Don't ask). The music also helped generate much suspense, hardly ever moment nail-bite over. The acting good, evolution Julia Stiles' character ""Nicky"" put situation new highly sympathetic light. Damon plays signature role reserve competency (which sounds minor genuinely looks like Matt Damon could evade CIA Interpol something), noticeable moments poignancy still struggles find humanity. This longing real life could get boring, almost Supremacy, works better Ultimatum (better script).  I reminded scene ""Goldeneye"" (the good Pierce Brosnan Bond film) Sean Bean's character asks James martinis ever silence screams men he's killed. Bourne regrets people killed, considers (or least made consider) meaning action without purpose, life without meaning, government transformed men resources. Albeit, resources know Krav Maga make weapons anything. Sidenote: always bothered that, despite superspy hunted CIA, Interpol, police nearly ANYWHERE goes, Bourne never thought make even smallest attempts disguise features forge new passports. Sunglasses maybe?  If pulse love action movies, Bourne Ultimatum you. Hell, probably best action film come year. Of course, fool see without watching others first. It kind drags touch near end, I almost feel tempted overlook that. This first ""3"" movie summer least match, exceed, original saying something. A-",1
